Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1719764467.73,   -100.00,      0.00,     68.00,     50.00,    213.00,    231.00,     53.00
1719764467.76,   -100.00,      0.00,     76.00,     50.00,    212.00,    231.00,     53.00
1719764467.78,   -100.00,      0.00,     76.00,     50.00,    213.00,    384.00,     53.00
1719764467.81,   -100.00,      0.00,     85.00,     50.00,    213.00,    232.00,     53.00
1719764467.83,   -100.00,      0.00,     85.00,     50.00,    213.00,    231.00,     53.00
1719764467.86,   -100.00,      0.00,     65.00,    595.00,    213.00,    231.00,     53.00
1719764467.88,   -100.00,      0.00,     65.00,    195.00,    213.00,    231.00,     53.00
1719764467.91,   -100.00,      0.00,     65.00,    183.00,    213.00,    231.00,     53.00
1719764467.93,   -100.00,      0.00,     73.00,    686.00,    213.00,    232.00,     53.00
1719764467.96,   -100.00,      0.00,     73.00,     91.00,    213.00,    231.00,     53.00
1719764467.98,   -100.00,      0.00,     73.00,     91.00,    221.00,    231.00,     46.00
1719764468.00,   -100.00,      0.00,     74.00,     91.00,    213.00,    231.00,     53.00
1719764468.03,   -100.00,      0.00,     82.00,    100.00,    221.00,    231.00,     53.00
1719764468.05,   -100.00,      0.00,     82.00,     71.00,    213.00,    231.00,     53.00
1719764468.07,   -100.00,      0.00,     82.00,     70.00,    213.00,    231.00,     53.00
1719764468.10,   -100.00,      0.00,     91.00,     70.00,    213.00,    231.00,     53.00
1719764468.12,   -100.00,      0.00,     91.00,     70.00,    213.00,    231.00,     53.00
1719764468.14,   -100.00,      0.00,     91.00,     70.00,    213.00,    231.00,     53.00
1719764468.17,   -100.00,      0.00,     91.00,     70.00,    213.00,    231.00,     53.00
1719764468.19,   -100.00,      0.00,     62.00,     71.00,    213.00,    231.00,     53.00
1719764468.21,   -100.00,      0.00,     62.00,    151.00,    213.00,    231.00,     52.00
1719764468.24,   -100.00,      0.00,     61.00,    150.00,    213.00,    231.00,     53.00
1719764468.26,   -100.00,      0.00,     62.00,    151.00,    213.00,    277.00,     53.00
1719764468.29,   -100.00,      0.00,     61.00,    151.00,    213.00,    232.00,     53.00
1719764468.31,   -100.00,      0.00,     62.00,    150.00,    213.00,    231.00,     53.00
1719764468.33,   -100.00,      0.00,     61.00,    150.00,    213.00,    231.00,     53.00
1719764468.36,   -100.00,      0.00,     62.00,    150.00,    212.00,    231.00,     53.00
1719764468.38,   -100.00,      0.00,     62.00,    725.00,    213.00,    232.00,     53.00
1719764468.41,   -100.00,      0.00,     62.00,     70.00,    213.00,    231.00,     53.00
1719764468.43,   -100.00,      0.00,     61.00,     79.00,    213.00,    231.00,     53.00
1719764468.45,   -100.00,      0.00,     70.00,     88.00,    213.00,    231.00,     53.00
1719764468.48,   -100.00,      0.00,     71.00,     97.00,    213.00,    223.00,     53.00
1719764468.50,   -100.00,      0.00,     71.00,    105.00,    213.00,    232.00,     53.00
1719764468.53,   -100.00,      0.00,     70.00,    613.00,    213.00,    231.00,     53.00
1719764468.55,   -100.00,      0.00,     71.00,     76.00,    213.00,    231.00,     53.00
1719764468.57,   -100.00,      0.00,     71.00,     76.00,    213.00,    231.00,     53.00
